species1	chr1	start1	end1	species2	chr2	start2	end2	orientation	block_id	identity
B. grahamii	NC_012846.1	684.975	697.128	B. quintana	NC_005955.1	498.157	510.86	plus	mauve_0163	NA
B. henselae	NC_005956.1	559.367	571.472	B. quintana	NC_005955.1	498.157	510.86	plus	mauve_0163	NA
B. bacilliformis	NC_008783.1	460.065	565.466	B. grahamii	NC_012846.1	701.225	821.469	plus	mauve_0166	NA
B. bacilliformis	NC_008783.1	460.065	565.466	B. henselae	NC_005956.1	576.458	697.522	plus	mauve_0166	NA
B. bacilliformis	NC_008783.1	460.065	565.466	B. quintana	NC_005955.1	511.569	620.513	plus	mauve_0166	NA
B. grahamii	NC_012846.1	701.225	821.469	B. henselae	NC_005956.1	576.458	697.522	plus	mauve_0166	NA
B. grahamii	NC_012846.1	701.225	821.469	B. quintana	NC_005955.1	511.569	620.513	plus	mauve_0166	NA
B. henselae	NC_005956.1	576.458	697.522	B. quintana	NC_005955.1	511.569	620.513	plus	mauve_0166	NA
B. bacilliformis	NC_008783.1	631.211	664.99	B. grahamii	NC_012846.1	1275.139	1313.035	minus	mauve_0176	NA
B. bacilliformis	NC_008783.1	631.211	664.99	B. henselae	NC_005956.1	847.131	883.826	plus	mauve_0176	NA
B. bacilliformis	NC_008783.1	631.211	664.99	B. quintana	NC_005955.1	630.378	667.2	plus	mauve_0176	NA
B. grahamii	NC_012846.1	1275.139	1313.035	B. henselae	NC_005956.1	847.131	883.826	minus	mauve_0176	NA
B. grahamii	NC_012846.1	1275.139	1313.035	B. quintana	NC_005955.1	630.378	667.2	minus	mauve_0176	NA
B. henselae	NC_005956.1	847.131	883.826	B. quintana	NC_005955.1	630.378	667.2	plus	mauve_0176	NA
B. bacilliformis	NC_008783.1	788.794	873.009	B. grahamii	NC_012846.1	1162.735	1268.853	plus	mauve_0180	NA
B. bacilliformis	NC_008783.1	788.794	873.009	B. henselae	NC_005956.1	911.254	1011.814	minus	mauve_0180	NA
B. bacilliformis	NC_008783.1	788.794	873.009	B. quintana	NC_005955.1	668.956	767.361	plus	mauve_0180	NA
B. grahamii	NC_012846.1	1162.735	1268.853	B. henselae	NC_005956.1	911.254	1011.814	minus	mauve_0180	NA
B. grahamii	NC_012846.1	1162.735	1268.853	B. quintana	NC_005955.1	668.956	767.361	plus	mauve_0180	NA
B. henselae	NC_005956.1	911.254	1011.814	B. quintana	NC_005955.1	668.956	767.361	minus	mauve_0180	NA
B. bacilliformis	NC_008783.1	565.479	628.896	B. grahamii	NC_012846.1	821.482	888.996	plus	mauve_0197	NA
B. bacilliformis	NC_008783.1	565.479	628.896	B. henselae	NC_005956.1	697.535	762.553	plus	mauve_0197	NA
B. bacilliformis	NC_008783.1	565.479	628.896	B. quintana	NC_005955.1	796.752	862.526	minus	mauve_0197	NA
B. grahamii	NC_012846.1	821.482	888.996	B. henselae	NC_005956.1	697.535	762.553	plus	mauve_0197	NA
B. grahamii	NC_012846.1	821.482	888.996	B. quintana	NC_005955.1	796.752	862.526	minus	mauve_0197	NA
B. henselae	NC_005956.1	697.535	762.553	B. quintana	NC_005955.1	796.752	862.526	minus	mauve_0197	NA
B. bacilliformis	NC_008783.1	873.407	898.098	B. grahamii	NC_012846.1	1329.978	1361.71	plus	mauve_0205	NA
B. bacilliformis	NC_008783.1	873.407	898.098	B. henselae	NC_005956.1	1057.073	1088.247	plus	mauve_0205	NA
B. bacilliformis	NC_008783.1	873.407	898.098	B. quintana	NC_005955.1	870.528	901.572	plus	mauve_0205	NA
B. grahamii	NC_012846.1	1329.978	1361.71	B. henselae	NC_005956.1	1057.073	1088.247	plus	mauve_0205	NA
B. grahamii	NC_012846.1	1329.978	1361.71	B. quintana	NC_005955.1	870.528	901.572	plus	mauve_0205	NA
B. henselae	NC_005956.1	1057.073	1088.247	B. quintana	NC_005955.1	870.528	901.572	plus	mauve_0205	NA
B. bacilliformis	NC_008783.1	736.281	771.753	B. grahamii	NC_012846.1	1361.859	1402.971	minus	mauve_0208	NA
B. bacilliformis	NC_008783.1	736.281	771.753	B. henselae	NC_005956.1	1088.412	1131.01	minus	mauve_0208	NA
B. bacilliformis	NC_008783.1	736.281	771.753	B. quintana	NC_005955.1	901.737	941.011	minus	mauve_0208	NA
B. grahamii	NC_012846.1	1361.859	1402.971	B. henselae	NC_005956.1	1088.412	1131.01	plus	mauve_0208	NA
B. grahamii	NC_012846.1	1361.859	1402.971	B. quintana	NC_005955.1	901.737	941.011	plus	mauve_0208	NA
B. henselae	NC_005956.1	1088.412	1131.01	B. quintana	NC_005955.1	901.737	941.011	plus	mauve_0208	NA
B. bacilliformis	NC_008783.1	715.319	732.81	B. grahamii	NC_012846.1	1462.59	1480.718	minus	mauve_0216	NA
B. bacilliformis	NC_008783.1	715.319	732.81	B. henselae	NC_005956.1	1134.866	1152.669	minus	mauve_0216	NA
B. bacilliformis	NC_008783.1	715.319	732.81	B. quintana	NC_005955.1	944.823	962.532	minus	mauve_0216	NA
B. grahamii	NC_012846.1	1462.59	1480.718	B. henselae	NC_005956.1	1134.866	1152.669	plus	mauve_0216	NA
B. grahamii	NC_012846.1	1462.59	1480.718	B. quintana	NC_005955.1	944.823	962.532	plus	mauve_0216	NA
B. henselae	NC_005956.1	1134.866	1152.669	B. quintana	NC_005955.1	944.823	962.532	plus	mauve_0216	NA
B. grahamii	NC_012846.1	1480.718	1503.373	B. henselae	NC_005956.1	1152.669	1175.999	plus	mauve_0217	NA
B. grahamii	NC_012846.1	1480.718	1503.373	B. quintana	NC_005955.1	962.532	984.399	plus	mauve_0217	NA
B. henselae	NC_005956.1	1152.669	1175.999	B. quintana	NC_005955.1	962.532	984.399	plus	mauve_0217	NA
B. bacilliformis	NC_008783.1	940.929	1009.478	B. grahamii	NC_012846.1	1516.53	1610.35	plus	mauve_0229	NA
B. bacilliformis	NC_008783.1	940.929	1009.478	B. henselae	NC_005956.1	1194.425	1287.099	plus	mauve_0229	NA
B. bacilliformis	NC_008783.1	940.929	1009.478	B. quintana	NC_005955.1	1001.027	1089.417	plus	mauve_0229	NA
B. grahamii	NC_012846.1	1516.53	1610.35	B. henselae	NC_005956.1	1194.425	1287.099	plus	mauve_0229	NA
B. grahamii	NC_012846.1	1516.53	1610.35	B. quintana	NC_005955.1	1001.027	1089.417	plus	mauve_0229	NA
B. henselae	NC_005956.1	1194.425	1287.099	B. quintana	NC_005955.1	1001.027	1089.417	plus	mauve_0229	NA
B. bacilliformis	NC_008783.1	1010.177	1025.215	B. grahamii	NC_012846.1	667.734	683.907	minus	mauve_0230	NA
B. bacilliformis	NC_008783.1	1010.177	1025.215	B. henselae	NC_005956.1	1289.021	1304.908	plus	mauve_0230	NA
B. bacilliformis	NC_008783.1	1010.177	1025.215	B. quintana	NC_005955.1	1090.654	1106.489	plus	mauve_0230	NA
B. grahamii	NC_012846.1	667.734	683.907	B. henselae	NC_005956.1	1289.021	1304.908	minus	mauve_0230	NA
B. grahamii	NC_012846.1	667.734	683.907	B. quintana	NC_005955.1	1090.654	1106.489	minus	mauve_0230	NA
B. henselae	NC_005956.1	1289.021	1304.908	B. quintana	NC_005955.1	1090.654	1106.489	plus	mauve_0230	NA
B. bacilliformis	NC_008783.1	1039.662	1050.264	B. grahamii	NC_012846.1	634.296	645.5	minus	mauve_0235	NA
B. bacilliformis	NC_008783.1	1039.662	1050.264	B. henselae	NC_005956.1	1324.862	1336.323	plus	mauve_0235	NA
B. bacilliformis	NC_008783.1	1039.662	1050.264	B. quintana	NC_005955.1	1108.506	1118.731	plus	mauve_0235	NA
B. grahamii	NC_012846.1	634.296	645.5	B. henselae	NC_005956.1	1324.862	1336.323	minus	mauve_0235	NA
B. grahamii	NC_012846.1	634.296	645.5	B. quintana	NC_005955.1	1108.506	1118.731	minus	mauve_0235	NA
B. henselae	NC_005956.1	1324.862	1336.323	B. quintana	NC_005955.1	1108.506	1118.731	plus	mauve_0235	NA
B. bacilliformis	NC_008783.1	1050.566	1061.164	B. grahamii	NC_012846.1	1613.169	1624.543	plus	mauve_0239	NA
B. bacilliformis	NC_008783.1	1050.566	1061.164	B. henselae	NC_005956.1	1336.536	1348.097	plus	mauve_0239	NA
B. bacilliformis	NC_008783.1	1050.566	1061.164	B. quintana	NC_005955.1	1118.946	1129.983	plus	mauve_0239	NA
B. grahamii	NC_012846.1	1613.169	1624.543	B. henselae	NC_005956.1	1336.536	1348.097	plus	mauve_0239	NA
B. grahamii	NC_012846.1	1613.169	1624.543	B. quintana	NC_005955.1	1118.946	1129.983	plus	mauve_0239	NA
B. henselae	NC_005956.1	1336.536	1348.097	B. quintana	NC_005955.1	1118.946	1129.983	plus	mauve_0239	NA
B. bacilliformis	NC_008783.1	1061.712	1076.567	B. grahamii	NC_012846.1	1084.271	1110.424	minus	mauve_0241	NA
B. bacilliformis	NC_008783.1	1061.712	1076.567	B. henselae	NC_005956.1	1352.158	1373.011	plus	mauve_0241	NA
B. bacilliformis	NC_008783.1	1061.712	1076.567	B. quintana	NC_005955.1	1130.79	1149.273	plus	mauve_0241	NA
B. grahamii	NC_012846.1	1084.271	1110.424	B. henselae	NC_005956.1	1352.158	1373.011	minus	mauve_0241	NA
B. grahamii	NC_012846.1	1084.271	1110.424	B. quintana	NC_005955.1	1130.79	1149.273	minus	mauve_0241	NA
B. henselae	NC_005956.1	1352.158	1373.011	B. quintana	NC_005955.1	1130.79	1149.273	plus	mauve_0241	NA
B. bacilliformis	NC_008783.1	1115.078	1130.68	B. grahamii	NC_012846.1	1755.115	1775.486	plus	mauve_0263	NA
B. bacilliformis	NC_008783.1	1115.078	1130.68	B. henselae	NC_005956.1	1415.458	1437.345	plus	mauve_0263	NA
B. bacilliformis	NC_008783.1	1115.078	1130.68	B. quintana	NC_005955.1	1179.658	1197.415	plus	mauve_0263	NA
B. grahamii	NC_012846.1	1755.115	1775.486	B. henselae	NC_005956.1	1415.458	1437.345	plus	mauve_0263	NA
B. grahamii	NC_012846.1	1755.115	1775.486	B. quintana	NC_005955.1	1179.658	1197.415	plus	mauve_0263	NA
B. henselae	NC_005956.1	1415.458	1437.345	B. quintana	NC_005955.1	1179.658	1197.415	plus	mauve_0263	NA
B. bacilliformis	NC_008783.1	1130.68	1142.994	B. grahamii	NC_012846.1	1807.687	1821.526	plus	mauve_0266	NA
B. bacilliformis	NC_008783.1	1130.68	1142.994	B. henselae	NC_005956.1	1439.294	1455.585	plus	mauve_0266	NA
B. bacilliformis	NC_008783.1	1130.68	1142.994	B. quintana	NC_005955.1	1198.011	1209.13	plus	mauve_0266	NA
B. grahamii	NC_012846.1	1807.687	1821.526	B. henselae	NC_005956.1	1439.294	1455.585	plus	mauve_0266	NA
B. grahamii	NC_012846.1	1807.687	1821.526	B. quintana	NC_005955.1	1198.011	1209.13	plus	mauve_0266	NA
B. henselae	NC_005956.1	1439.294	1455.585	B. quintana	NC_005955.1	1198.011	1209.13	plus	mauve_0266	NA
B. grahamii	NC_012846.1	1665.861	1689.916	B. henselae	NC_005956.1	1508.11	1534.058	plus	mauve_0283	NA
B. grahamii	NC_012846.1	1665.861	1689.916	B. quintana	NC_005955.1	1246.922	1269.127	plus	mauve_0283	NA
B. henselae	NC_005956.1	1508.11	1534.058	B. quintana	NC_005955.1	1246.922	1269.127	plus	mauve_0283	NA
B. bacilliformis	NC_008783.1	223.548	250.685	B. grahamii	NC_012846.1	1899.877	1930.984	minus	mauve_0302	NA
B. bacilliformis	NC_008783.1	223.548	250.685	B. henselae	NC_005956.1	1585.398	1618.843	minus	mauve_0302	NA
B. bacilliformis	NC_008783.1	223.548	250.685	B. quintana	NC_005955.1	1298.27	1324.707	minus	mauve_0302	NA
B. grahamii	NC_012846.1	1899.877	1930.984	B. henselae	NC_005956.1	1585.398	1618.843	plus	mauve_0302	NA
B. grahamii	NC_012846.1	1899.877	1930.984	B. quintana	NC_005955.1	1298.27	1324.707	plus	mauve_0302	NA
B. henselae	NC_005956.1	1585.398	1618.843	B. quintana	NC_005955.1	1298.27	1324.707	plus	mauve_0302	NA
B. bacilliformis	NC_008783.1	173.24	183.652	B. grahamii	NC_012846.1	2085.191	2095.731	minus	mauve_0335	NA
B. bacilliformis	NC_008783.1	173.24	183.652	B. henselae	NC_005956.1	1691.662	1701.852	minus	mauve_0335	NA
B. grahamii	NC_012846.1	2085.191	2095.731	B. henselae	NC_005956.1	1691.662	1701.852	plus	mauve_0335	NA
B. bacilliformis	NC_008783.1	156.266	172.735	B. grahamii	NC_012846.1	2096.828	2123.176	plus	mauve_0340	NA
B. bacilliformis	NC_008783.1	156.266	172.735	B. henselae	NC_005956.1	1704.463	1723.761	plus	mauve_0340	NA
B. bacilliformis	NC_008783.1	156.266	172.735	B. quintana	NC_005955.1	1389.472	1405.239	plus	mauve_0340	NA
B. grahamii	NC_012846.1	2096.828	2123.176	B. henselae	NC_005956.1	1704.463	1723.761	plus	mauve_0340	NA
B. grahamii	NC_012846.1	2096.828	2123.176	B. quintana	NC_005955.1	1389.472	1405.239	plus	mauve_0340	NA
B. henselae	NC_005956.1	1704.463	1723.761	B. quintana	NC_005955.1	1389.472	1405.239	plus	mauve_0340	NA
B. grahamii	NC_012846.1	2127.476	2138.193	B. henselae	NC_005956.1	1726.459	1738.068	plus	mauve_0344	NA
B. bacilliformis	NC_008783.1	101.57	147.04	B. grahamii	NC_012846.1	2139.92	2205.112	minus	mauve_0346	NA
B. bacilliformis	NC_008783.1	101.57	147.04	B. henselae	NC_005956.1	1741.186	1801.29	minus	mauve_0346	NA
B. bacilliformis	NC_008783.1	101.57	147.04	B. quintana	NC_005955.1	1414.541	1461.626	minus	mauve_0346	NA
B. grahamii	NC_012846.1	2139.92	2205.112	B. henselae	NC_005956.1	1741.186	1801.29	plus	mauve_0346	NA
B. grahamii	NC_012846.1	2139.92	2205.112	B. quintana	NC_005955.1	1414.541	1461.626	plus	mauve_0346	NA
B. henselae	NC_005956.1	1741.186	1801.29	B. quintana	NC_005955.1	1414.541	1461.626	plus	mauve_0346	NA
B. grahamii	NC_012846.1	2205.112	2230.569	B. henselae	NC_005956.1	1801.29	1819.896	plus	mauve_0347	NA
B. grahamii	NC_012846.1	2205.112	2230.569	B. quintana	NC_005955.1	1461.626	1481.149	plus	mauve_0347	NA
B. henselae	NC_005956.1	1801.29	1819.896	B. quintana	NC_005955.1	1461.626	1481.149	plus	mauve_0347	NA
B. bacilliformis	NC_008783.1	86.493	101.004	B. grahamii	NC_012846.1	2230.569	2247.313	minus	mauve_0348	NA
B. bacilliformis	NC_008783.1	86.493	101.004	B. henselae	NC_005956.1	1819.896	1835.85	minus	mauve_0348	NA
B. bacilliformis	NC_008783.1	86.493	101.004	B. quintana	NC_005955.1	1481.149	1494.688	minus	mauve_0348	NA
B. grahamii	NC_012846.1	2230.569	2247.313	B. henselae	NC_005956.1	1819.896	1835.85	plus	mauve_0348	NA
B. grahamii	NC_012846.1	2230.569	2247.313	B. quintana	NC_005955.1	1481.149	1494.688	plus	mauve_0348	NA
B. henselae	NC_005956.1	1819.896	1835.85	B. quintana	NC_005955.1	1481.149	1494.688	plus	mauve_0348	NA
B. bacilliformis	NC_008783.1	50.797	84.02	B. grahamii	NC_012846.1	2251.103	2290.102	minus	mauve_0356	NA
B. bacilliformis	NC_008783.1	50.797	84.02	B. henselae	NC_005956.1	1841.838	1880.093	minus	mauve_0356	NA
B. bacilliformis	NC_008783.1	50.797	84.02	B. quintana	NC_005955.1	1498.018	1535.837	minus	mauve_0356	NA
B. grahamii	NC_012846.1	2251.103	2290.102	B. henselae	NC_005956.1	1841.838	1880.093	plus	mauve_0356	NA
B. grahamii	NC_012846.1	2251.103	2290.102	B. quintana	NC_005955.1	1498.018	1535.837	plus	mauve_0356	NA
B. henselae	NC_005956.1	1841.838	1880.093	B. quintana	NC_005955.1	1498.018	1535.837	plus	mauve_0356	NA
B. bacilliformis	NC_008783.1	8.808	50.133	B. grahamii	NC_012846.1	2293.684	2341.306	minus	mauve_0360	NA
B. bacilliformis	NC_008783.1	8.808	50.133	B. henselae	NC_005956.1	1883.668	1931.025	minus	mauve_0360	NA
B. bacilliformis	NC_008783.1	8.808	50.133	B. quintana	NC_005955.1	1537.076	1581.361	minus	mauve_0360	NA
B. grahamii	NC_012846.1	2293.684	2341.306	B. henselae	NC_005956.1	1883.668	1931.025	plus	mauve_0360	NA
B. grahamii	NC_012846.1	2293.684	2341.306	B. quintana	NC_005955.1	1537.076	1581.361	plus	mauve_0360	NA
B. henselae	NC_005956.1	1883.668	1931.025	B. quintana	NC_005955.1	1537.076	1581.361	plus	mauve_0360	NA
