ofID1	ofID2	genome1	genome2	chr1	chr2	start1	end1	start2	end2	isAnchor	record_type
SimA_region_0052	SimB_region_0052	SimA	SimB	7	1	6633339	7704679	13693523	15873660	TRUE	simulated_interval
SimA_region_0053	SimB_region_0053	SimA	SimB	7	7	8876958	9841535	9815878	10859245	TRUE	simulated_interval
SimA_region_0054	SimB_region_0054	SimA	SimB	7	7	10902078	11657862	12125531	12936377	TRUE	simulated_interval
SimA_region_0055	SimB_region_0055	SimA	SimB	7	7	13256818	14328931	14430372	15590491	TRUE	simulated_interval
SimA_region_0056	SimB_region_0056	SimA	SimB	7	7	15608463	16145258	16396415	16975245	TRUE	simulated_interval
SimA_region_0057	SimB_region_0057	SimA	SimB	8	8	386630	1143170	516716	1335547	TRUE	simulated_interval
SimA_region_0058	SimB_region_0058	SimA	SimB	8	8	2270247	2745660	2552367	3066340	TRUE	simulated_interval
SimA_region_0059	SimB_region_0059	SimA	SimB	8	2	3969428	4630943	8473639	9857283	TRUE	simulated_interval
SimA_region_0060	SimB_region_0060	SimA	SimB	8	8	6042446	6610491	6420035	7036981	TRUE	simulated_interval
SimA_region_0061	SimB_region_0061	SimA	SimB	8	8	7924418	8590038	8659372	9378642	TRUE	simulated_interval
SimA_region_0062	SimB_region_0062	SimA	SimB	8	8	9621328	10192528	10797668	11414868	TRUE	simulated_interval
SimA_region_0063	SimB_region_0063	SimA	SimB	8	8	11886740	12737660	12530313	13451094	TRUE	simulated_interval
SimA_region_0064	SimB_region_0064	SimA	SimB	8	8	13394356	14151623	14566541	15385509	TRUE	simulated_interval
SimA_region_0065	SimC_region_0065	SimA	SimC	1	1	1214529	3230918	953206	2848604	TRUE	simulated_interval
SimA_region_0066	SimC_region_0066	SimA	SimC	1	1	5035134	7053384	4737877	6630742	TRUE	simulated_interval
SimA_region_0067	SimC_region_0067	SimA	SimC	1	3	9259801	11077031	6767325	8154667	TRUE	simulated_interval
SimA_region_0068	SimC_region_0068	SimA	SimC	1	1	13286617	14698314	12112806	13438591	TRUE	simulated_interval
SimA_region_0069	SimC_region_0069	SimA	SimC	1	1	16702293	17917233	15514029	16653409	TRUE	simulated_interval
SimA_region_0070	SimC_region_0070	SimA	SimC	1	1	21131556	22343245	19294502	20435547	TRUE	simulated_interval
SimA_region_0071	SimC_region_0071	SimA	SimC	1	1	25356219	27372805	23646862	25541434	TRUE	simulated_interval
SimA_region_0072	SimC_region_0072	SimA	SimC	1	1	28778926	30591723	27238584	28945358	TRUE	simulated_interval
SimA_region_0073	SimC_region_0073	SimA	SimC	2	2	915878	2564403	692788	2239824	TRUE	simulated_interval
SimA_region_0074	SimC_region_0074	SimA	SimC	2	4	4564319	5663748	2998480	3817182	TRUE	simulated_interval
SimA_region_0075	SimC_region_0075	SimA	SimC	2	2	8213206	10039296	7545264	9266038	TRUE	simulated_interval
SimA_region_0076	SimC_region_0076	SimA	SimC	2	2	11674213	12956327	10805351	12007975	TRUE	simulated_interval
SimA_region_0077	SimC_region_0077	SimA	SimC	2	2	15504866	17331874	14401606	16120881	TRUE	simulated_interval
SimA_region_0078	SimC_region_0078	SimA	SimC	2	2	18603602	20066591	17658783	19034189	TRUE	simulated_interval
SimA_region_0079	SimC_region_0079	SimA	SimC	2	2	22796111	24077509	21254117	22461610	TRUE	simulated_interval
SimA_region_0080	SimC_region_0080	SimA	SimC	2	4	26257446	27723799	19710839	20804604	TRUE	simulated_interval
SimA_region_0081	SimC_region_0081	SimA	SimC	3	5	824256	1809912	18121052	18871472	TRUE	simulated_interval
SimA_region_0082	SimC_region_0082	SimA	SimC	3	3	4093061	4915396	19365506	20138214	TRUE	simulated_interval
SimA_region_0083	SimC_region_0083	SimA	SimC	3	3	6869979	8347774	15675687	17065509	TRUE	simulated_interval
SimA_region_0084	SimC_region_0084	SimA	SimC	3	3	10794806	11616704	12760309	13531899	TRUE	simulated_interval
SimA_region_0085	SimC_region_0085	SimA	SimC	3	3	14064410	15539421	10149412	11534642	TRUE	simulated_interval
SimA_region_0086	SimC_region_0086	SimA	SimC	3	3	17168032	17991119	6611893	7386491	TRUE	simulated_interval
SimA_region_0087	SimC_region_0087	SimA	SimC	3	5	20272657	21913836	2862771	4106491	TRUE	simulated_interval
SimA_region_0088	SimC_region_0088	SimA	SimC	3	3	23707939	25019321	620305	1855623	TRUE	simulated_interval
SimA_region_0089	SimC_region_0089	SimA	SimC	4	4	294810	1313208	414623	1370994	TRUE	simulated_interval
SimA_region_0090	SimC_region_0090	SimA	SimC	4	4	3619063	4493937	3270209	4088981	TRUE	simulated_interval
SimA_region_0091	SimC_region_0091	SimA	SimC	4	4	6225084	7385509	5715234	6806969	TRUE	simulated_interval
SimA_region_0092	SimC_region_0092	SimA	SimC	4	4	9549737	10421660	8431474	9253157	TRUE	simulated_interval
SimA_region_0093	SimC_region_0093	SimA	SimC	4	4	11864136	12734918	11284370	12107044	TRUE	simulated_interval
SimA_region_0094	SimC_region_0094	SimA	SimC	4	6	14756662	15915648	11458767	12359673	TRUE	simulated_interval
SimA_region_0095	SimC_region_0095	SimA	SimC	4	4	18077769	18807220	16855694	17543019	TRUE	simulated_interval
SimA_region_0096	SimC_region_0096	SimA	SimC	4	4	20968254	22132528	19443819	20532805	TRUE	simulated_interval
SimA_region_0097	SimC_region_0097	SimA	SimC	5	5	270346	1332000	256445	1252755	TRUE	simulated_interval
SimA_region_0098	SimC_region_0098	SimA	SimC	5	5	3304542	3972000	3236456	3858340	TRUE	simulated_interval
SimA_region_0099	SimC_region_0099	SimA	SimC	5	5	6079593	6744000	5590965	6215774	TRUE	simulated_interval
SimA_region_0100	SimC_region_0100	SimA	SimC	5	5	8584350	9516000	7824577	8697283	TRUE	simulated_interval
SimA_region_0101	SimC_region_0101	SimA	SimC	5	7	10832868	12156000	8644680	9653057	TRUE	simulated_interval
SimA_region_0102	SimC_region_0102	SimA	SimC	5	5	13471644	14664000	13159870	14280679	TRUE	simulated_interval
SimA_region_0103	SimC_region_0103	SimA	SimC	5	5	16241872	17040000	15390744	16141811	TRUE	simulated_interval
SimA_region_0104	SimC_region_0104	SimA	SimC	5	5	19149066	19944000	17625956	18375170	TRUE	simulated_interval
SimA_region_0105	SimC_region_0105	SimA	SimC	6	6	364603	1564478	456122	1583522	TRUE	simulated_interval
SimA_region_0106	SimC_region_0106	SimA	SimC	6	6	3109786	3833484	2927742	3604050	TRUE	simulated_interval
SimA_region_0107	SimC_region_0107	SimA	SimC	6	6	5379852	6221912	4834270	5624579	TRUE	simulated_interval
SimA_region_0108	SimC_region_0108	SimA	SimC	6	8	7767588	8490918	5677209	6214264	TRUE	simulated_interval
SimA_region_0109	SimC_region_0109	SimA	SimC	6	6	10275044	10998767	9209216	9890138	TRUE	simulated_interval
SimA_region_0110	SimC_region_0110	SimA	SimC	6	6	12548261	13745459	11458767	12584176	TRUE	simulated_interval
SimA_region_0111	SimC_region_0111	SimA	SimC	6	6	14818344	15417358	13700226	14267950	TRUE	simulated_interval
SimA_region_0112	SimC_region_0112	SimA	SimC	6	6	17326249	17925208	16061705	16625233	TRUE	simulated_interval
SimA_region_0113	SimC_region_0113	SimA	SimC	7	7	651149	1400956	612539	1317560	TRUE	simulated_interval
SimA_region_0114	SimC_region_0114	SimA	SimC	7	7	2679387	3751497	2316057	3326113	TRUE	simulated_interval
SimA_region_0115	SimC_region_0115	SimA	SimC	7	1	4598512	5247296	8708080	9845560	TRUE	simulated_interval
SimA_region_0116	SimC_region_0116	SimA	SimC	7	7	6952847	7704679	6533236	7242792	TRUE	simulated_interval
SimA_region_0117	SimC_region_0117	SimA	SimC	7	7	9197768	10055220	8644680	9452201	TRUE	simulated_interval
SimA_region_0118	SimC_region_0118	SimA	SimC	7	7	11334507	12405761	10550759	11561182	TRUE	simulated_interval
SimA_region_0119	SimC_region_0119	SimA	SimC	7	7	13150116	13901560	12460267	13168025	TRUE	simulated_interval
SimA_region_0120	SimC_region_0120	SimA	SimC	7	7	15499010	16252101	14569684	15277006	TRUE	simulated_interval
SimA_region_0121	SimC_region_0121	SimA	SimC	8	8	288022	1048906	12945675	13656981	TRUE	simulated_interval
SimA_region_0122	SimC_region_0122	SimA	SimC	8	2	2364860	3311245	21088392	22804352	TRUE	simulated_interval
SimA_region_0123	SimC_region_0123	SimA	SimC	8	8	4062993	4913736	9135344	9935623	TRUE	simulated_interval
SimA_region_0124	SimC_region_0124	SimA	SimC	8	8	5851216	6704755	7272572	8074943	TRUE	simulated_interval
SimA_region_0125	SimC_region_0125	SimA	SimC	8	8	7834167	8495774	5853646	6480075	TRUE	simulated_interval
SimA_region_0126	SimC_region_0126	SimA	SimC	8	8	9621328	10286792	3903902	4530792	TRUE	simulated_interval
SimA_region_0127	SimC_region_0127	SimA	SimC	8	8	11600917	12549132	2311236	3201736	TRUE	simulated_interval
SimA_region_0128	SimC_region_0128	SimA	SimC	8	2	13489677	14057358	866754	1897082	TRUE	simulated_interval
SimA_region_0129	SimD_region_0129	SimA	SimD	1	1	407836	2426189	467123	2788453	TRUE	simulated_interval
SimA_region_0130	SimD_region_0130	SimA	SimD	1	3	5238460	6852201	4139504	5651245	TRUE	simulated_interval
SimA_region_0131	SimD_region_0131	SimA	SimD	1	1	9063266	10875849	10652435	12737409	TRUE	simulated_interval
SimA_region_0132	SimD_region_0132	SimA	SimD	1	1	13083115	14698314	14814478	16670717	TRUE	simulated_interval
SimA_region_0133	SimD_region_0133	SimA	SimD	1	1	17305712	18520780	19445407	20835396	TRUE	simulated_interval
SimA_region_0134	SimD_region_0134	SimA	SimD	1	1	20527667	21739698	23608612	25000075	TRUE	simulated_interval
SimA_region_0135	SimD_region_0135	SimA	SimD	1	1	24956588	26366893	28927213	30552981	TRUE	simulated_interval
SimA_region_0136	SimD_region_0136	SimA	SimD	1	3	28574607	30591723	27263383	29148101	TRUE	simulated_interval
SimA_region_0137	SimD_region_0137	SimA	SimD	2	4	553810	1835145	23619017	24787233	TRUE	simulated_interval
SimA_region_0138	SimD_region_0138	SimA	SimD	2	2	4199437	5481434	26423376	27898503	TRUE	simulated_interval
SimA_region_0139	SimD_region_0139	SimA	SimD	2	2	7663296	8763094	21392056	22656679	TRUE	simulated_interval
SimA_region_0140	SimD_region_0140	SimA	SimD	2	2	11854638	12774013	17619121	18672893	TRUE	simulated_interval
SimA_region_0141	SimD_region_0141	SimA	SimD	2	2	15137202	16055673	13006458	14060088	TRUE	simulated_interval
SimA_region_0142	SimD_region_0142	SimA	SimD	2	2	18968846	19884277	8810785	9866629	TRUE	simulated_interval
SimA_region_0143	SimD_region_0143	SimA	SimD	2	4	22434929	23530566	3829308	4834025	TRUE	simulated_interval
SimA_region_0144	SimD_region_0144	SimA	SimD	2	2	26257446	27359170	1264559	2528075	TRUE	simulated_interval
SimA_region_0145	SimD_region_0145	SimA	SimD	3	3	989583	2300252	943920	2455673	TRUE	simulated_interval
SimA_region_0146	SimD_region_0146	SimA	SimD	3	3	4093061	5405736	4329293	5839220	TRUE	simulated_interval
SimA_region_0147	SimD_region_0147	SimA	SimD	3	3	7526784	8674667	8652687	9974667	TRUE	simulated_interval
SimA_region_0148	SimD_region_0148	SimA	SimD	3	3	10794806	11616704	11850090	12794289	TRUE	simulated_interval
SimA_region_0149	SimD_region_0149	SimA	SimD	3	3	13734229	15049082	15795302	17305686	TRUE	simulated_interval
SimA_region_0150	SimD_region_0150	SimA	SimD	3	5	17331360	18154566	15643193	16407623	TRUE	simulated_interval
SimA_region_0151	SimD_region_0151	SimA	SimD	3	3	20272657	21096604	23693431	24636704	TRUE	simulated_interval
SimA_region_0152	SimD_region_0152	SimA	SimD	3	3	23707939	25182767	27073507	28772151	TRUE	simulated_interval
SimA_region_0153	SimD_region_0153	SimA	SimD	4	4	294810	1168629	835714	1841044	TRUE	simulated_interval
SimA_region_0154	SimD_region_0154	SimA	SimD	4	4	3765081	5072252	4330898	5831686	TRUE	simulated_interval
SimA_region_0155	SimD_region_0155	SimA	SimD	4	4	6225084	7674667	7157535	8824667	TRUE	simulated_interval
SimA_region_0156	SimD_region_0156	SimA	SimD	4	4	9405550	10710818	10978845	12482755	TRUE	simulated_interval
SimA_region_0157	SimD_region_0157	SimA	SimD	4	6	11864136	12590340	11405650	12098440	TRUE	simulated_interval
SimA_region_0158	SimD_region_0158	SimA	SimD	4	4	14756662	15915648	17631309	18967547	TRUE	simulated_interval
SimA_region_0159	SimD_region_0159	SimA	SimD	4	4	18077769	18951799	20795072	21794252	TRUE	simulated_interval
SimA_region_0160	SimD_region_0160	SimA	SimD	4	4	21113736	22421686	24284019	25784893	TRUE	simulated_interval
SimA_region_0161	SimD_region_0161	SimA	SimD	5	5	533153	1332000	915277	1833736	TRUE	simulated_interval
SimA_region_0162	SimD_region_0162	SimA	SimD	5	5	3041612	4104000	3499409	4718151	TRUE	simulated_interval
SimA_region_0163	SimD_region_0163	SimA	SimD	5	5	6079593	6876000	6532964	7450755	TRUE	simulated_interval
SimA_region_0164	SimD_region_0164	SimA	SimD	5	7	8321164	8988000	8114389	8736516	TRUE	simulated_interval
SimA_region_0165	SimD_region_0165	SimA	SimD	5	5	11095858	11760000	12610595	13371396	TRUE	simulated_interval
SimA_region_0166	SimD_region_0166	SimA	SimD	5	5	13998837	15324000	15643193	17166679	TRUE	simulated_interval
SimA_region_0167	SimD_region_0167	SimA	SimD	5	5	16111922	16776000	18831543	19595660	TRUE	simulated_interval
SimA_region_0168	SimD_region_0168	SimA	SimD	5	5	18751877	19944000	21563943	22935509	TRUE	simulated_interval
SimA_region_0169	SimD_region_0169	SimA	SimD	6	6	724238	1325635	416262	1110767	TRUE	simulated_interval
SimA_region_0170	SimD_region_0170	SimA	SimD	6	6	2989783	3594642	3029662	3720340	TRUE	simulated_interval
SimA_region_0171	SimD_region_0171	SimA	SimD	6	8	5497866	6341333	4883263	5649585	TRUE	simulated_interval
SimA_region_0172	SimD_region_0172	SimA	SimD	6	6	7767588	8729761	8661372	9763560	TRUE	simulated_interval
SimA_region_0173	SimD_region_0173	SimA	SimD	6	6	9800976	10401660	11266823	11961094	TRUE	simulated_interval
SimA_region_0174	SimD_region_0174	SimA	SimD	6	6	12424439	13028931	14429947	15120050	TRUE	simulated_interval
SimA_region_0175	SimD_region_0175	SimA	SimD	6	6	14818344	15895044	17316064	18553698	TRUE	simulated_interval
SimA_region_0176	SimD_region_0176	SimA	SimD	6	6	17202279	18164050	19646527	20751233	TRUE	simulated_interval
SimA_region_0177	SimD_region_0177	SimA	SimD	7	7	218836	973585	17827906	18689836	TRUE	simulated_interval
SimA_region_0178	SimD_region_0178	SimA	SimD	7	1	2356657	2896755	29161071	30321610	TRUE	simulated_interval
SimA_region_0179	SimD_region_0179	SimA	SimD	7	7	4920362	5888352	12910181	14020377	TRUE	simulated_interval
SimA_region_0180	SimD_region_0180	SimA	SimD	7	7	6952847	7490994	10085168	10702604	TRUE	simulated_interval
SimA_region_0181	SimD_region_0181	SimA	SimD	7	7	8876958	9627849	7991319	8859396	TRUE	simulated_interval
SimA_region_0182	SimD_region_0182	SimA	SimD	7	7	11118892	12085233	5657541	6770428	TRUE	simulated_interval
SimA_region_0183	SimD_region_0183	SimA	SimD	7	7	13467442	14328931	3202260	4189937	TRUE	simulated_interval
SimA_region_0184	SimD_region_0184	SimA	SimD	7	1	15182159	15717887	1163733	2325711	TRUE	simulated_interval
SimA_region_0185	SimD_region_0185	SimA	SimD	8	2	386630	860377	846442	1899057	TRUE	simulated_interval
SimA_region_0186	SimD_region_0186	SimA	SimD	8	8	2270247	3216981	2390574	3481283	TRUE	simulated_interval
SimA_region_0187	SimD_region_0187	SimA	SimD	8	8	4152166	4819472	4883263	5649585	TRUE	simulated_interval
SimA_region_0188	SimD_region_0188	SimA	SimD	8	8	6136958	6893283	6730797	7601057	TRUE	simulated_interval
SimA_region_0189	SimD_region_0189	SimA	SimD	8	8	7739460	8684302	8895997	9986189	TRUE	simulated_interval
SimA_region_0190	SimD_region_0190	SimA	SimD	8	8	9718510	10569585	11282858	12262906	TRUE	simulated_interval
SimA_region_0191	SimD_region_0191	SimA	SimD	8	2	11886740	12643396	26423376	28108176	TRUE	simulated_interval
SimA_region_0192	SimD_region_0192	SimA	SimD	8	8	13675505	14340151	15513337	16274264	TRUE	simulated_interval
SimB_region_0193	SimC_region_0193	SimB	SimC	1	3	1096568	2619396	22438474	23518189	TRUE	simulated_interval
SimB_region_0194	SimC_region_0194	SimB	SimC	1	1	5437589	6530491	23646862	24595899	TRUE	simulated_interval
SimB_region_0195	SimC_region_0195	SimB	SimC	1	1	9135839	10441585	19482778	20624654	TRUE	simulated_interval
SimB_region_0196	SimC_region_0196	SimB	SimC	1	1	13693523	15656377	15702550	17409836	TRUE	simulated_interval
SimB_region_0197	SimC_region_0197	SimB	SimC	1	1	18690411	20219321	12487778	13816805	TRUE	simulated_interval
SimB_region_0198	SimC_region_0198	SimB	SimC	1	1	22825095	23913132	8514473	9467346	TRUE	simulated_interval
SimB_region_0199	SimC_region_0199	SimB	SimC	1	3	27167981	29127925	3692918	5081962	TRUE	simulated_interval
SimB_region_0200	SimC_region_0200	SimB	SimC	1	1	31515202	33039019	953206	2281283	TRUE	simulated_interval
SimB_region_0201	SimC_region_0201	SimB	SimC	2	2	1191323	2965585	866754	2411195	TRUE	simulated_interval
SimB_region_0202	SimC_region_0202	SimB	SimC	2	2	4932193	6903698	3951114	5667245	TRUE	simulated_interval
SimB_region_0203	SimC_region_0203	SimB	SimC	2	2	8276880	9266566	7888427	8751925	TRUE	simulated_interval
SimB_region_0204	SimC_region_0204	SimB	SimC	2	2	12415230	13795396	10631441	11836604	TRUE	simulated_interval
SimB_region_0205	SimC_region_0205	SimB	SimC	2	2	16153908	18127321	14058149	15778138	TRUE	simulated_interval
SimB_region_0206	SimC_region_0206	SimB	SimC	2	4	20483102	21671623	14410812	15232730	TRUE	simulated_interval
SimB_region_0207	SimC_region_0207	SimB	SimC	2	2	24424264	25806642	20914341	22118868	TRUE	simulated_interval
SimB_region_0208	SimC_region_0208	SimB	SimC	2	2	27970015	29547849	24687080	26060403	TRUE	simulated_interval
SimB_region_0209	SimC_region_0209	SimB	SimC	3	3	712269	2130340	778264	2009258	TRUE	simulated_interval
SimB_region_0210	SimC_region_0210	SimB	SimC	3	3	4241466	5484377	4003791	5081962	TRUE	simulated_interval
SimB_region_0211	SimC_region_0211	SimB	SimC	3	3	7419247	8661887	6458161	7540126	TRUE	simulated_interval
SimB_region_0212	SimC_region_0212	SimB	SimC	3	3	11482524	13075094	9689504	11073736	TRUE	simulated_interval
SimB_region_0213	SimC_region_0213	SimB	SimC	3	5	15009806	16605660	10427881	11551019	TRUE	simulated_interval
SimB_region_0214	SimC_region_0214	SimB	SimC	3	3	18010868	19430113	15830415	17065509	TRUE	simulated_interval
SimB_region_0215	SimC_region_0215	SimB	SimC	3	3	21544594	22607623	18751341	19677308	TRUE	simulated_interval
SimB_region_0216	SimC_region_0216	SimB	SimC	3	3	25073898	26844302	22282285	23825459	TRUE	simulated_interval
SimB_region_0217	SimC_region_0217	SimB	SimC	4	4	789065	2198113	552383	1778692	TRUE	simulated_interval
SimB_region_0218	SimC_region_0218	SimB	SimC	4	4	3599134	5008830	3407346	4632579	TRUE	simulated_interval
SimB_region_0219	SimC_region_0219	SimB	SimC	4	4	6719842	7975698	6256202	7350566	TRUE	simulated_interval
SimB_region_0220	SimC_region_0220	SimB	SimC	4	6	9688618	10630264	7079548	7757358	TRUE	simulated_interval
SimB_region_0221	SimC_region_0221	SimB	SimC	4	4	13121171	14065585	11693050	12514742	TRUE	simulated_interval
SimB_region_0222	SimC_region_0222	SimB	SimC	4	4	16093296	17344755	14410812	15504528	TRUE	simulated_interval
SimB_region_0223	SimC_region_0223	SimB	SimC	4	4	19368390	20780075	16855694	18086616	TRUE	simulated_interval
SimB_region_0224	SimC_region_0224	SimB	SimC	4	4	22803209	24371547	19849455	21212302	TRUE	simulated_interval
SimB_region_0225	SimC_region_0225	SimB	SimC	5	5	717333	1722792	629435	1500906	TRUE	simulated_interval
SimB_region_0226	SimC_region_0226	SimB	SimC	5	5	3143950	4003849	2982585	3734264	TRUE	simulated_interval
SimB_region_0227	SimC_region_0227	SimB	SimC	5	7	6137770	6997736	4223143	4832528	TRUE	simulated_interval
SimB_region_0228	SimC_region_0228	SimB	SimC	5	5	9276724	10419321	7699879	8697283	TRUE	simulated_interval
SimB_region_0229	SimC_region_0229	SimB	SimC	5	5	12268958	13698340	10303364	11551019	TRUE	simulated_interval
SimB_region_0230	SimC_region_0230	SimB	SimC	5	5	14546734	15551698	12788167	13660302	TRUE	simulated_interval
SimB_region_0231	SimC_region_0231	SimB	SimC	5	5	17545283	18545585	15266942	16141811	TRUE	simulated_interval
SimB_region_0232	SimC_region_0232	SimB	SimC	5	5	20254245	21396906	17625956	18623321	TRUE	simulated_interval
SimB_region_0233	SimC_region_0233	SimB	SimC	6	6	523988	1688755	16171444	17186491	TRUE	simulated_interval
SimB_region_0234	SimC_region_0234	SimB	SimC	6	8	3361767	4397358	11173870	11884906	TRUE	simulated_interval
SimB_region_0235	SimC_region_0235	SimB	SimC	6	6	5422330	6719019	11679046	12808679	TRUE	simulated_interval
SimB_region_0236	SimC_region_0236	SimB	SimC	6	6	8001954	8911698	9433592	10226893	TRUE	simulated_interval
SimB_region_0237	SimC_region_0237	SimB	SimC	6	6	10843816	12136226	7079548	8206365	TRUE	simulated_interval
SimB_region_0238	SimC_region_0238	SimB	SimC	6	6	13166436	14457887	5170954	6298088	TRUE	simulated_interval
SimB_region_0239	SimC_region_0239	SimB	SimC	6	6	15742014	16908528	2927742	3940805	TRUE	simulated_interval
SimB_region_0240	SimC_region_0240	SimB	SimC	6	8	18449795	19359170	273057	898038	TRUE	simulated_interval
