species1	chr1	start1	end1	species2	chr2	start2	end2	orientation	source_block_id
An. gambiae	3L	31	32	An. stephensi	2L	41	42	minus	3L:32
An. gambiae	3L	32	33	An. stephensi	2L	40	41	minus	3L:33
An. gambiae	3L	33	34	An. stephensi	2L	39	40	minus	3L:34
An. gambiae	3L	34	35	An. stephensi	2L	38	39	minus	3L:35
An. gambiae	3L	35	36	An. stephensi	2L	37	38	minus	3L:36
An. gambiae	3L	36	37	An. stephensi	2L	36	37	minus	3L:37
An. gambiae	3L	37	38	An. stephensi	2L	35	36	minus	3L:38
An. gambiae	3L	38	39	An. stephensi	2L	34	35	minus	3L:39
An. gambiae	3L	39	40	An. stephensi	2L	33	34	minus	3L:40
An. gambiae	3L	40	41	An. stephensi	2L	32	33	minus	3L:41
An. gambiae	3L	41	42	An. stephensi	2L	13	14	minus	3L:42
An. gambiae	2R	0	1	An. stephensi	2R	0	1	plus	2R:1
An. gambiae	2R	1	2	An. stephensi	2R	1	2	plus	2R:2
An. gambiae	2R	2	3	An. stephensi	2R	2	3	plus	2R:3
An. gambiae	2R	3	4	An. stephensi	2R	3	4	plus	2R:4
An. gambiae	2R	4	5	An. stephensi	2R	4	5	plus	2R:5
An. gambiae	2R	5	6	An. stephensi	2R	5	6	plus	2R:6
An. gambiae	2R	6	7	An. stephensi	2R	6	7	plus	2R:7
An. gambiae	2R	7	8	An. stephensi	2R	17	18	minus	2R:8
An. gambiae	2R	8	9	An. stephensi	2R	11	12	minus	2R:9
An. gambiae	2R	9	10	An. stephensi	2R	10	11	minus	2R:10
An. gambiae	2R	10	11	An. stephensi	2R	9	10	minus	2R:11
An. gambiae	2R	11	12	An. stephensi	2R	7	8	minus	2R:12
An. gambiae	2R	12	13	An. stephensi	2R	18	19	plus	2R:13
An. gambiae	2R	13	14	An. stephensi	2R	46	47	minus	2R:14
An. gambiae	2R	14	15	An. stephensi	2R	45	46	minus	2R:15
An. gambiae	2R	15	16	An. stephensi	2R	43	44	plus	2R:16
An. gambiae	2R	16	17	An. stephensi	2R	44	45	plus	2R:17
An. gambiae	2R	17	18	An. stephensi	2R	42	43	plus	2R:18
An. gambiae	2R	18	19	An. stephensi	2R	15	16	minus	2R:19
An. gambiae	2R	19	20	An. stephensi	2R	14	15	minus	2R:20
An. gambiae	2R	20	21	An. stephensi	2R	13	14	minus	2R:21
An. gambiae	2R	21	22	An. stephensi	2R	12	13	minus	2R:22
An. gambiae	2R	22	23	An. stephensi	2R	16	17	minus	2R:23
An. gambiae	2R	23	24	An. stephensi	2R	28	29	minus	2R:24
An. gambiae	2R	24	25	An. stephensi	2R	27	28	minus	2R:25
An. gambiae	2R	25	26	An. stephensi	2R	66	67	minus	2R:26
An. gambiae	2R	26	27	An. stephensi	2R	49	50	minus	2R:27
An. gambiae	2R	27	28	An. stephensi	2R	48	49	minus	2R:28
An. gambiae	2R	28	29	An. stephensi	2R	47	48	minus	2R:29
An. gambiae	2R	29	30	An. stephensi	2R	19	20	plus	2R:30
An. gambiae	2R	30	31	An. stephensi	2R	55	56	minus	2R:31
An. gambiae	2R	31	32	An. stephensi	2R	54	55	minus	2R:32
An. gambiae	2R	32	33	An. stephensi	2R	21	22	plus	2R:33
An. gambiae	2R	33	34	An. stephensi	2R	22	23	plus	2R:34
An. gambiae	2R	34	35	An. stephensi	2R	35	36	plus	2R:35
An. gambiae	2R	35	36	An. stephensi	2R	36	37	plus	2R:36
An. gambiae	2R	36	37	An. stephensi	2R	37	38	plus	2R:37
An. gambiae	2R	37	38	An. stephensi	2R	63	64	minus	2R:38
An. gambiae	2R	38	39	An. stephensi	2R	62	63	minus	2R:39
An. gambiae	2R	39	40	An. stephensi	2R	61	62	minus	2R:40
An. gambiae	2R	40	41	An. stephensi	2R	26	27	plus	2R:41
An. gambiae	2R	41	42	An. stephensi	2R	8	9	plus	2R:42
An. gambiae	2R	42	43	An. stephensi	2R	25	26	plus	2R:43
An. gambiae	2R	43	44	An. stephensi	2R	90	91	minus	2R:44
An. gambiae	2R	44	45	An. stephensi	2R	24	25	minus	2R:45
An. gambiae	2R	45	46	An. stephensi	2R	23	24	minus	2R:46
An. gambiae	2R	46	47	An. stephensi	2R	34	35	minus	2R:47
An. gambiae	2R	47	48	An. stephensi	2R	51	52	plus	2R:48
An. gambiae	2R	48	49	An. stephensi	2R	31	32	plus	2R:49
An. gambiae	2R	49	50	An. stephensi	2R	58	59	plus	2R:50
An. gambiae	2R	50	51	An. stephensi	2R	59	60	plus	2R:51
An. gambiae	2R	51	52	An. stephensi	2R	60	61	plus	2R:52
An. gambiae	2R	52	53	An. stephensi	2R	74	75	minus	2R:53
An. gambiae	2R	53	54	An. stephensi	2R	33	34	plus	2R:54
An. gambiae	2R	54	55	An. stephensi	2R	75	76	plus	2R:55
An. gambiae	2R	55	56	An. stephensi	2R	50	51	minus	2R:56
An. gambiae	2R	56	57	An. stephensi	2R	65	66	minus	2R:57
An. gambiae	2R	57	58	An. stephensi	2R	29	30	plus	2R:58
An. gambiae	2R	58	59	An. stephensi	2R	30	31	plus	2R:59
An. gambiae	2R	59	60	An. stephensi	2R	52	53	plus	2R:60
An. gambiae	2R	60	61	An. stephensi	2R	53	54	plus	2R:61
An. gambiae	2R	61	62	An. stephensi	2R	20	21	minus	2R:62
An. gambiae	2R	62	63	An. stephensi	2R	56	57	plus	2R:63
An. gambiae	2R	63	64	An. stephensi	2R	57	58	plus	2R:64
An. gambiae	2R	64	65	An. stephensi	2R	32	33	plus	2R:65
An. gambiae	2R	65	66	An. stephensi	2R	73	74	minus	2R:66
An. gambiae	2R	66	67	An. stephensi	2R	72	73	minus	2R:67
An. gambiae	2R	67	68	An. stephensi	2R	83	84	plus	2R:68
An. gambiae	2R	68	69	An. stephensi	2R	92	93	plus	2R:69
An. gambiae	2R	69	70	An. stephensi	2R	93	94	plus	2R:70
An. gambiae	2R	70	71	An. stephensi	2R	78	79	plus	2R:71
An. gambiae	2R	71	72	An. stephensi	2R	67	68	plus	2R:72
An. gambiae	2R	72	73	An. stephensi	2R	64	65	plus	2R:73
An. gambiae	2R	73	74	An. stephensi	2R	41	42	minus	2R:74
An. gambiae	2R	74	75	An. stephensi	2R	40	41	minus	2R:75
An. gambiae	2R	75	76	An. stephensi	2R	39	40	minus	2R:76
An. gambiae	2R	76	77	An. stephensi	2R	38	39	minus	2R:77
An. gambiae	2R	77	78	An. stephensi	2R	91	92	plus	2R:78
An. gambiae	2R	78	79	An. stephensi	2R	84	85	plus	2R:79
An. gambiae	2R	79	80	An. stephensi	2R	85	86	minus	2R:80
An. gambiae	2R	80	81	An. stephensi	2R	86	87	plus	2R:81
An. gambiae	2R	81	82	An. stephensi	2R	71	72	plus	2R:82
An. gambiae	2R	82	83	An. stephensi	2R	82	83	minus	2R:83
An. gambiae	2R	83	84	An. stephensi	2R	81	82	minus	2R:84
An. gambiae	2R	84	85	An. stephensi	2R	80	81	minus	2R:85
An. gambiae	2R	85	86	An. stephensi	2R	79	80	minus	2R:86
An. gambiae	2R	86	87	An. stephensi	2R	69	70	plus	2R:87
An. gambiae	2R	87	88	An. stephensi	2R	70	71	plus	2R:88
An. gambiae	2R	88	89	An. stephensi	2R	87	88	plus	2R:89
An. gambiae	2R	89	90	An. stephensi	2R	68	69	minus	2R:90
An. gambiae	2R	90	91	An. stephensi	2R	89	90	minus	2R:91
An. gambiae	2R	91	92	An. stephensi	2R	88	89	minus	2R:92
An. gambiae	2R	92	93	An. stephensi	2R	76	77	plus	2R:93
An. gambiae	2R	93	94	An. stephensi	2R	98	99	minus	2R:94
An. gambiae	2R	94	95	An. stephensi	2R	97	98	minus	2R:95
An. gambiae	2R	95	96	An. stephensi	2R	96	97	minus	2R:96
An. gambiae	2R	96	97	An. stephensi	2R	95	96	minus	2R:97
An. gambiae	2R	97	98	An. stephensi	2R	94	95	minus	2R:98
An. gambiae	2R	98	99	An. stephensi	2R	103	104	minus	2R:99
An. gambiae	2R	99	100	An. stephensi	2R	102	103	plus	2R:100
An. gambiae	2R	100	101	An. stephensi	2R	101	102	minus	2R:101
An. gambiae	2R	101	102	An. stephensi	2R	100	101	plus	2R:102
An. gambiae	2R	102	103	An. stephensi	2R	99	100	minus	2R:103
An. gambiae	2R	103	104	An. stephensi	2R	77	78	plus	2R:104
An. gambiae	2L	0	1	An. stephensi	3L	4	5	minus	2L:1
An. gambiae	2L	1	2	An. stephensi	3L	3	4	plus	2L:2
An. gambiae	2L	2	3	An. stephensi	3L	2	3	minus	2L:3
An. gambiae	2L	3	4	An. stephensi	3L	1	2	plus	2L:4
An. gambiae	2L	4	5	An. stephensi	3L	0	1	minus	2L:5
An. gambiae	2L	5	6	An. stephensi	3L	23	24	plus	2L:6
An. gambiae	2L	6	7	An. stephensi	3L	24	25	plus	2L:7
An. gambiae	2L	7	8	An. stephensi	3L	22	23	minus	2L:8
An. gambiae	2L	8	9	An. stephensi	3L	5	6	plus	2L:9
An. gambiae	2L	9	10	An. stephensi	3L	13	14	minus	2L:10
An. gambiae	2L	10	11	An. stephensi	3L	25	26	minus	2L:11
An. gambiae	2L	11	12	An. stephensi	3L	46	47	minus	2L:12
An. gambiae	2L	12	13	An. stephensi	3L	45	46	minus	2L:13
An. gambiae	2L	13	14	An. stephensi	3L	44	45	minus	2L:14
An. gambiae	2L	14	15	An. stephensi	3L	9	10	plus	2L:15
An. gambiae	2L	15	16	An. stephensi	3L	14	15	minus	2L:16
An. gambiae	2L	16	17	An. stephensi	3L	21	22	plus	2L:17
An. gambiae	2L	17	18	An. stephensi	3L	6	7	plus	2L:18
An. gambiae	2L	18	19	An. stephensi	3L	31	32	plus	2L:19
An. gambiae	2L	19	20	An. stephensi	3L	32	33	minus	2L:20
An. gambiae	2L	20	21	An. stephensi	3L	12	13	plus	2L:21
An. gambiae	2L	21	22	An. stephensi	3L	26	27	plus	2L:22
An. gambiae	2L	22	23	An. stephensi	3L	36	37	minus	2L:23
An. gambiae	2L	23	24	An. stephensi	3L	35	36	minus	2L:24
An. gambiae	2L	24	25	An. stephensi	3L	34	35	minus	2L:25
An. gambiae	2L	25	26	An. stephensi	3L	33	34	minus	2L:26
An. gambiae	2L	26	27	An. stephensi	3L	11	12	minus	2L:27
An. gambiae	2L	27	28	An. stephensi	3L	10	11	minus	2L:28
An. gambiae	2L	28	29	An. stephensi	3L	40	41	plus	2L:29
An. gambiae	2L	29	30	An. stephensi	3L	27	28	plus	2L:30
An. gambiae	2L	30	31	An. stephensi	3L	28	29	plus	2L:31
An. gambiae	2L	31	32	An. stephensi	3L	8	9	plus	2L:32
An. gambiae	2L	32	33	An. stephensi	3L	43	44	minus	2L:33
An. gambiae	2L	33	34	An. stephensi	3L	42	43	minus	2L:34
An. gambiae	2L	34	35	An. stephensi	3L	41	42	minus	2L:35
An. gambiae	2L	35	36	An. stephensi	3L	37	38	plus	2L:36
An. gambiae	2L	36	37	An. stephensi	3L	38	39	plus	2L:37
An. gambiae	2L	37	38	An. stephensi	3L	29	30	minus	2L:38
An. gambiae	2L	38	39	An. stephensi	3L	17	18	minus	2L:39
An. gambiae	2L	39	40	An. stephensi	3L	30	31	plus	2L:40
An. gambiae	2L	40	41	An. stephensi	3L	7	8	plus	2L:41
An. gambiae	2L	41	42	An. stephensi	3L	48	49	minus	2L:42
An. gambiae	2L	42	43	An. stephensi	3L	47	48	minus	2L:43
An. gambiae	2L	43	44	An. stephensi	3L	20	21	plus	2L:44
An. gambiae	2L	44	45	An. stephensi	3L	19	20	minus	2L:45
An. gambiae	2L	45	46	An. stephensi	3L	16	17	minus	2L:46
An. gambiae	2L	46	47	An. stephensi	3L	15	16	minus	2L:47
An. gambiae	2L	47	48	An. stephensi	3L	39	40	minus	2L:48
An. gambiae	2L	48	49	An. stephensi	3L	18	19	minus	2L:49
An. gambiae	2L	49	50	An. stephensi	3L	49	50	plus	2L:50
An. gambiae	2L	50	51	An. stephensi	3L	50	51	plus	2L:51
An. gambiae	2L	51	52	An. stephensi	3L	51	52	plus	2L:52
An. gambiae	2L	52	53	An. stephensi	3L	52	53	plus	2L:53
An. gambiae	2L	53	54	An. stephensi	3L	53	54	plus	2L:54
An. gambiae	2L	54	55	An. stephensi	3L	54	55	plus	2L:55
An. gambiae	2L	55	56	An. stephensi	3L	55	56	plus	2L:56
An. gambiae	2L	56	57	An. stephensi	3L	56	57	plus	2L:57
An. gambiae	2L	57	58	An. stephensi	3L	57	58	plus	2L:58
An. gambiae	2L	58	59	An. stephensi	3L	62	63	minus	2L:59
An. gambiae	2L	59	60	An. stephensi	3L	61	62	minus	2L:60
An. gambiae	2L	60	61	An. stephensi	3L	60	61	minus	2L:61
An. gambiae	2L	61	62	An. stephensi	3L	59	60	minus	2L:62
An. gambiae	2L	62	63	An. stephensi	3L	58	59	minus	2L:63
An. gambiae	2L	63	64	An. stephensi	3L	63	64	plus	2L:64
An. gambiae	3R	0	1	An. stephensi	3R	3	4	plus	3R:1
An. gambiae	3R	1	2	An. stephensi	3R	5	6	minus	3R:2
An. gambiae	3R	2	3	An. stephensi	3R	4	5	minus	3R:3
An. gambiae	3R	3	4	An. stephensi	3R	2	3	minus	3R:4
An. gambiae	3R	4	5	An. stephensi	3R	1	2	minus	3R:5
An. gambiae	3R	5	6	An. stephensi	3R	0	1	minus	3R:6
An. gambiae	3R	6	7	An. stephensi	3R	6	7	plus	3R:7
An. gambiae	3R	7	8	An. stephensi	3R	9	10	plus	3R:8
An. gambiae	3R	8	9	An. stephensi	3R	12	13	plus	3R:9
An. gambiae	3R	9	10	An. stephensi	3R	14	15	plus	3R:10
An. gambiae	3R	10	11	An. stephensi	3R	17	18	plus	3R:11
An. gambiae	3R	11	12	An. stephensi	3R	18	19	plus	3R:12
An. gambiae	3R	12	13	An. stephensi	3R	19	20	plus	3R:13
An. gambiae	3R	13	14	An. stephensi	3R	20	21	plus	3R:14
An. gambiae	3R	14	15	An. stephensi	3R	22	23	plus	3R:15
An. gambiae	3R	15	16	An. stephensi	3R	24	25	plus	3R:16
An. gambiae	3R	16	17	An. stephensi	3R	26	27	plus	3R:17
An. gambiae	3R	17	18	An. stephensi	3R	28	29	plus	3R:18
An. gambiae	3R	18	19	An. stephensi	3R	30	31	plus	3R:19
An. gambiae	3R	19	20	An. stephensi	3R	31	32	plus	3R:20
An. gambiae	3R	20	21	An. stephensi	3R	33	34	plus	3R:21
An. gambiae	3R	21	22	An. stephensi	3R	34	35	plus	3R:22
An. gambiae	3R	22	23	An. stephensi	3R	35	36	plus	3R:23
An. gambiae	3R	23	24	An. stephensi	3R	36	37	plus	3R:24
An. gambiae	3R	24	25	An. stephensi	3R	39	40	plus	3R:25
An. gambiae	3R	25	26	An. stephensi	3R	41	42	plus	3R:26
An. gambiae	3R	26	27	An. stephensi	3R	40	41	minus	3R:27
An. gambiae	3R	27	28	An. stephensi	3R	38	39	minus	3R:28
An. gambiae	3R	28	29	An. stephensi	3R	37	38	minus	3R:29
An. gambiae	3R	29	30	An. stephensi	3R	43	44	minus	3R:30
An. gambiae	3R	30	31	An. stephensi	3R	42	43	minus	3R:31
An. gambiae	3R	31	32	An. stephensi	3R	71	72	minus	3R:32
An. gambiae	3R	32	33	An. stephensi	3R	44	45	minus	3R:33
An. gambiae	3R	33	34	An. stephensi	3R	73	74	plus	3R:34
An. gambiae	3R	34	35	An. stephensi	3R	47	48	plus	3R:35
An. gambiae	3R	35	36	An. stephensi	3R	78	79	minus	3R:36
An. gambiae	3R	36	37	An. stephensi	3R	77	78	minus	3R:37
An. gambiae	3R	37	38	An. stephensi	3R	72	73	plus	3R:38
An. gambiae	3R	38	39	An. stephensi	3R	76	77	minus	3R:39
An. gambiae	3R	39	40	An. stephensi	3R	75	76	minus	3R:40
An. gambiae	3R	40	41	An. stephensi	3R	74	75	minus	3R:41
An. gambiae	3R	41	42	An. stephensi	3R	57	58	minus	3R:42
An. gambiae	3R	42	43	An. stephensi	3R	53	54	minus	3R:43
An. gambiae	3R	43	44	An. stephensi	3R	52	53	minus	3R:44
An. gambiae	3R	44	45	An. stephensi	3R	70	71	plus	3R:45
An. gambiae	3R	45	46	An. stephensi	3R	45	46	plus	3R:46
An. gambiae	3R	46	47	An. stephensi	3R	46	47	plus	3R:47
An. gambiae	3R	47	48	An. stephensi	3R	58	59	plus	3R:48
An. gambiae	3R	48	49	An. stephensi	3R	60	61	minus	3R:49
An. gambiae	3R	49	50	An. stephensi	3R	59	60	minus	3R:50
An. gambiae	3R	50	51	An. stephensi	3R	82	83	minus	3R:51
An. gambiae	3R	51	52	An. stephensi	3R	81	82	plus	3R:52
An. gambiae	3R	52	53	An. stephensi	3R	80	81	minus	3R:53
An. gambiae	3R	53	54	An. stephensi	3R	79	80	minus	3R:54
An. gambiae	3R	54	55	An. stephensi	3R	48	49	plus	3R:55
An. gambiae	3R	55	56	An. stephensi	3R	49	50	plus	3R:56
An. gambiae	3R	56	57	An. stephensi	3R	50	51	plus	3R:57
An. gambiae	3R	57	58	An. stephensi	3R	62	63	minus	3R:58
An. gambiae	3R	58	59	An. stephensi	3R	61	62	minus	3R:59
An. gambiae	3R	59	60	An. stephensi	3R	66	67	minus	3R:60
An. gambiae	3R	60	61	An. stephensi	3R	85	86	minus	3R:61
An. gambiae	3R	61	62	An. stephensi	3R	84	85	minus	3R:62
An. gambiae	3R	62	63	An. stephensi	3R	83	84	minus	3R:63
An. gambiae	3R	63	64	An. stephensi	3R	64	65	minus	3R:64
An. gambiae	3R	64	65	An. stephensi	3R	63	64	minus	3R:65
An. gambiae	3R	65	66	An. stephensi	3R	65	66	plus	3R:66
An. gambiae	3R	66	67	An. stephensi	3R	86	87	plus	3R:67
An. gambiae	3R	67	68	An. stephensi	3R	87	88	plus	3R:68
An. gambiae	3R	68	69	An. stephensi	3R	88	89	plus	3R:69
An. gambiae	3R	69	70	An. stephensi	3R	89	90	plus	3R:70
An. gambiae	3R	70	71	An. stephensi	3R	90	91	plus	3R:71
An. gambiae	3R	71	72	An. stephensi	3R	97	98	minus	3R:72
An. gambiae	3R	72	73	An. stephensi	3R	96	97	minus	3R:73
An. gambiae	3R	73	74	An. stephensi	3R	95	96	minus	3R:74
An. gambiae	3R	74	75	An. stephensi	3R	94	95	minus	3R:75
An. gambiae	3R	75	76	An. stephensi	3R	93	94	minus	3R:76
An. gambiae	3R	76	77	An. stephensi	3R	92	93	minus	3R:77
An. gambiae	3R	77	78	An. stephensi	3R	68	69	minus	3R:78
An. gambiae	3R	78	79	An. stephensi	3R	67	68	minus	3R:79
An. gambiae	3R	79	80	An. stephensi	3R	54	55	plus	3R:80
An. gambiae	3R	80	81	An. stephensi	3R	55	56	plus	3R:81
An. gambiae	3R	81	82	An. stephensi	3R	56	57	plus	3R:82
An. gambiae	3R	82	83	An. stephensi	3R	32	33	plus	3R:83
An. gambiae	3R	83	84	An. stephensi	3R	7	8	plus	3R:84
An. gambiae	3R	84	85	An. stephensi	3R	8	9	plus	3R:85
An. gambiae	3R	85	86	An. stephensi	3R	10	11	plus	3R:86
An. gambiae	3R	86	87	An. stephensi	3R	11	12	plus	3R:87
An. gambiae	3R	87	88	An. stephensi	3R	13	14	plus	3R:88
An. gambiae	3R	88	89	An. stephensi	3R	15	16	plus	3R:89
An. gambiae	3R	89	90	An. stephensi	3R	16	17	plus	3R:90
An. gambiae	3R	90	91	An. stephensi	3R	21	22	plus	3R:91
An. gambiae	3R	91	92	An. stephensi	3R	23	24	plus	3R:92
An. gambiae	3R	92	93	An. stephensi	3R	25	26	plus	3R:93
An. gambiae	3R	93	94	An. stephensi	3R	27	28	plus	3R:94
An. gambiae	3R	94	95	An. stephensi	3R	29	30	plus	3R:95
An. gambiae	3R	95	96	An. stephensi	3R	91	92	plus	3R:96
An. gambiae	3R	96	97	An. stephensi	3R	51	52	plus	3R:97
An. gambiae	3R	97	98	An. stephensi	3R	69	70	minus	3R:98
An. gambiae	3R	98	99	An. stephensi	3R	100	101	minus	3R:99
An. gambiae	3R	99	100	An. stephensi	3R	99	100	minus	3R:100
An. gambiae	3R	100	101	An. stephensi	3R	98	99	minus	3R:101
An. gambiae	3R	101	102	An. stephensi	3R	101	102	plus	3R:102
An. gambiae	3R	102	103	An. stephensi	3R	102	103	plus	3R:103
An. gambiae	3R	103	104	An. stephensi	3R	103	104	plus	3R:104
An. gambiae	X	0	1	An. stephensi	X	65	66	minus	X:1
An. gambiae	X	1	2	An. stephensi	X	48	49	plus	X:2
An. gambiae	X	2	3	An. stephensi	X	60	61	plus	X:3
An. gambiae	X	3	4	An. stephensi	X	6	7	plus	X:4
An. gambiae	X	4	5	An. stephensi	X	5	6	minus	X:5
An. gambiae	X	5	6	An. stephensi	X	36	37	minus	X:6
An. gambiae	X	6	7	An. stephensi	X	22	23	minus	X:7
An. gambiae	X	7	8	An. stephensi	X	64	65	plus	X:8
An. gambiae	X	8	9	An. stephensi	X	63	64	minus	X:9
An. gambiae	X	9	10	An. stephensi	X	8	9	minus	X:10
An. gambiae	X	10	11	An. stephensi	X	58	59	minus	X:11
An. gambiae	X	11	12	An. stephensi	X	56	57	minus	X:12
An. gambiae	X	12	13	An. stephensi	X	55	56	plus	X:13
An. gambiae	X	13	14	An. stephensi	X	54	55	minus	X:14
An. gambiae	X	14	15	An. stephensi	X	62	63	minus	X:15
An. gambiae	X	15	16	An. stephensi	X	12	13	minus	X:16
An. gambiae	X	16	17	An. stephensi	X	59	60	plus	X:17
An. gambiae	X	17	18	An. stephensi	X	7	8	minus	X:18
An. gambiae	X	18	19	An. stephensi	X	31	32	minus	X:19
An. gambiae	X	19	20	An. stephensi	X	29	30	minus	X:20
An. gambiae	X	20	21	An. stephensi	X	41	42	minus	X:21
An. gambiae	X	21	22	An. stephensi	X	32	33	plus	X:22
An. gambiae	X	22	23	An. stephensi	X	33	34	plus	X:23
An. gambiae	X	23	24	An. stephensi	X	34	35	plus	X:24
An. gambiae	X	24	25	An. stephensi	X	23	24	minus	X:25
An. gambiae	X	25	26	An. stephensi	X	35	36	minus	X:26
An. gambiae	X	26	27	An. stephensi	X	24	25	plus	X:27
An. gambiae	X	27	28	An. stephensi	X	2	3	minus	X:28
An. gambiae	X	28	29	An. stephensi	X	14	15	minus	X:29
An. gambiae	X	29	30	An. stephensi	X	13	14	minus	X:30
An. gambiae	X	30	31	An. stephensi	X	61	62	minus	X:31
An. gambiae	X	31	32	An. stephensi	X	4	5	plus	X:32
An. gambiae	X	32	33	An. stephensi	X	0	1	minus	X:33
An. gambiae	X	33	34	An. stephensi	X	30	31	plus	X:34
An. gambiae	X	34	35	An. stephensi	X	44	45	minus	X:35
An. gambiae	X	35	36	An. stephensi	X	43	44	minus	X:36
An. gambiae	X	36	37	An. stephensi	X	42	43	minus	X:37
An. gambiae	X	37	38	An. stephensi	X	50	51	minus	X:38
An. gambiae	X	38	39	An. stephensi	X	15	16	minus	X:39
An. gambiae	X	39	40	An. stephensi	X	45	46	plus	X:40
An. gambiae	X	40	41	An. stephensi	X	46	47	minus	X:41
An. gambiae	X	41	42	An. stephensi	X	47	48	minus	X:42
An. gambiae	X	42	43	An. stephensi	X	21	22	minus	X:43
An. gambiae	X	43	44	An. stephensi	X	20	21	minus	X:44
An. gambiae	X	44	45	An. stephensi	X	38	39	minus	X:45
An. gambiae	X	45	46	An. stephensi	X	52	53	minus	X:46
An. gambiae	X	46	47	An. stephensi	X	51	52	minus	X:47
An. gambiae	X	47	48	An. stephensi	X	10	11	plus	X:48
An. gambiae	X	48	49	An. stephensi	X	49	50	minus	X:49
An. gambiae	X	49	50	An. stephensi	X	9	10	plus	X:50
An. gambiae	X	50	51	An. stephensi	X	40	41	plus	X:51
An. gambiae	X	51	52	An. stephensi	X	53	54	minus	X:52
An. gambiae	X	52	53	An. stephensi	X	37	38	minus	X:53
An. gambiae	X	53	54	An. stephensi	X	1	2	plus	X:54
An. gambiae	X	54	55	An. stephensi	X	39	40	minus	X:55
An. gambiae	X	55	56	An. stephensi	X	19	20	minus	X:56
An. gambiae	X	56	57	An. stephensi	X	18	19	minus	X:57
An. gambiae	X	57	58	An. stephensi	X	17	18	plus	X:58
An. gambiae	X	58	59	An. stephensi	X	11	12	minus	X:59
An. gambiae	X	59	60	An. stephensi	X	16	17	plus	X:60
An. gambiae	X	60	61	An. stephensi	X	57	58	plus	X:61
An. gambiae	X	61	62	An. stephensi	X	28	29	minus	X:62
An. gambiae	X	62	63	An. stephensi	X	26	27	plus	X:63
An. gambiae	X	63	64	An. stephensi	X	3	4	minus	X:64
An. gambiae	X	64	65	An. stephensi	X	25	26	plus	X:65
An. gambiae	X	65	66	An. stephensi	X	27	28	minus	X:66
